Name	Type	Subtype	CMC	Colors	Power	Toughness	Text	Sets
Stern Marshal	['Creature']	['Human', 'Soldier']	3	['White']	2	2	{T}: Target creature gets +2/+2 until end of turn. Activate this ability only during your turn, before attackers are declared.	['POR']
Ratcatcher	['Creature']	['Ogre', 'Rogue']	6	['Black']	4	4	Fear (This creature can't be blocked except by artifact creatures and/or black creatures.) At the beginning of your upkeep, you may search your library for a Rat card, reveal it, and put it into your hand. If you do, shuffle your library.	['DIS']
Spike Feeder	['Creature']	['Spike']	3	['Green']	0	0	Spike Feeder enters the battlefield with two +1/+1 counters on it. {2}, Remove a +1/+1 counter from Spike Feeder: Put a +1/+1 counter on target creature. Remove a +1/+1 counter from Spike Feeder: You gain 2 life.	['STH', 'BRB', 'pFNM', 'TSB', 'CMD', 'TPR']
Kira, Great Glass-Spinner	['Creature']	['Spirit']	3	['Blue']	2	2	Flying Creatures you control have "Whenever this creature becomes the target of a spell or ability for the first time in a turn, counter that spell or ability."	['BOK', 'MMA']
Dreamwinder	['Creature']	['Serpent']	4	['Blue']	4	3	Dreamwinder can't attack unless defending player controls an Island. {U}, Sacrifice an Island: Target land becomes an Island until end of turn.	['ODY']
Lavinia of the Tenth	['Creature']	['Human', 'Soldier']	5	['White', 'Blue']	4	4	Protection from red When Lavinia of the Tenth enters the battlefield, detain each nonland permanent your opponents control with converted mana cost 4 or less. (Until your next turn, those permanents can't attack or block and their activated abilities can't be activated.)	['DGM']
Zuran Spellcaster	['Creature']	['Human', 'Wizard']	3	['Blue']	1	1	{T}: Zuran Spellcaster deals 1 damage to target creature or player.	['ICE', 'CST', 'ME2']
Mogg Fanatic	['Creature']	['Goblin']	1	['Red']	1	1	Sacrifice Mogg Fanatic: Mogg Fanatic deals 1 damage to target creature or player.	['TMP', 'ATH', 'pFNM', 'pGTW', '10E', 'EVG', 'PD2', 'DD3_EVG', 'TPR']
Hikari, Twilight Guardian	['Creature']	['Spirit']	5	['White']	4	4	Flying Whenever you cast a Spirit or Arcane spell, you may exile Hikari, Twilight Guardian. If you do, return it to the battlefield under its owner's control at the beginning of the next end step.	['CHK', 'MM2']
Teysa, Orzhov Scion	['Creature']	['Human', 'Advisor']	3	['White', 'Black']	2	3	Sacrifice three white creatures: Exile target creature. Whenever another black creature you control dies, put a 1/1 white Spirit creature token with flying onto the battlefield.	['GPT']
Village Cannibals	['Creature']	['Human']	3	['Black']	2	2	Whenever another Human creature dies, put a +1/+1 counter on Village Cannibals.	['ISD']
Dawntreader Elk	['Creature']	['Elk']	2	['Green']	2	2	{G}, Sacrifice Dawntreader Elk: Search your library for a basic land card, put it onto the battlefield tapped, then shuffle your library.	['DKA']
Silumgar, the Drifting Death	['Creature']	['Dragon']	6	['Blue', 'Black']	3	7	Flying, hexproof Whenever a Dragon you control attacks, creatures defending player controls get -1/-1 until end of turn.	['FRF']
Eagle of the Watch	['Creature']	['Bird']	3	['White']	2	1	Flying, vigilance	['JOU', 'ORI']
Guardian Seraph	['Creature']	['Angel']	4	['White']	3	4	Flying If a source an opponent controls would deal damage to you, prevent 1 of that damage.	['M10']
Sea Gate Oracle	['Creature']	['Human', 'Wizard']	3	['Blue']	1	3	When Sea Gate Oracle enters the battlefield, look at the top two cards of your library. Put one of them into your hand and the other on the bottom of your library.	['ROE', 'DDM', 'C14']
Scavenging Ooze	['Creature']	['Ooze']	2	['Green']	2	2	{G}: Exile target card from a graveyard. If it was a creature card, put a +1/+1 counter on Scavenging Ooze and you gain 1 life.	['pMEI', 'CMD', 'M14']
Johan	['Creature']	['Human', 'Wizard']	6	['White', 'Red', 'Green']	5	4	At the beginning of combat on your turn, you may have Johan gain "Johan can't attack" until end of combat. If you do, attacking doesn't cause creatures you control to tap this combat if Johan is untapped.	['LEG', 'CHR']
Treasury Thrull	['Creature']	['Thrull']	6	['White', 'Black']	4	4	Extort (Whenever you cast a spell, you may pay {W/B}. If you do, each opponent loses 1 life and you gain that much life.) Whenever Treasury Thrull attacks, you may return target artifact, creature, or enchantment card from your graveyard to your hand.	['pPRE', 'GTC']
Valleymaker	['Creature']	['Giant', 'Shaman']	6	['Red', 'Green']	5	5	{T}, Sacrifice a Mountain: Valleymaker deals 3 damage to target creature. {T}, Sacrifice a Forest: Choose a player. That player adds {G}{G}{G} to his or her mana pool.	['SHM']
Siege Wurm	['Creature']	['Wurm']	7	['Green']	5	5	Convoke (Your creatures can help cast this spell. Each creature you tap while casting this spell pays for {1} or one mana of that creature's color.) Trample (If this creature would assign enough damage to its blockers to destroy them, you may have it assign the rest of its damage to defending player or planeswalker.)	['RAV', 'M15']
Crazed Skirge	['Creature']	['Imp']	4	['Black']	2	2	Flying, haste	['USG', 'BRB']
Nomads en-Kor	['Creature']	['Kor', 'Nomad', 'Soldier']	1	['White']	1	1	{0}: The next 1 damage that would be dealt to Nomads en-Kor this turn is dealt to target creature you control instead.	['STH', 'TPR']
Shivan Zombie	['Creature']	['Barbarian', 'Zombie']	2	['Black', 'Red']	2	2	Protection from white	['INV']
Rage Weaver	['Creature']	['Human', 'Wizard']	2	['Red']	2	1	{2}: Target black or green creature gains haste until end of turn. (It can attack and {T} this turn.)	['INV', '10E']
Sage-Eye Avengers	['Creature']	['Djinn', 'Monk']	6	['Blue']	4	5	Prowess (Whenever you cast a noncreature spell, this creature gets +1/+1 until end of turn.) Whenever Sage-Eye Avengers attacks, you may return target creature to its owner's hand if its power is less than Sage-Eye Avengers's power.	['pMEI', 'FRF']
Obzedat, Ghost Council	['Creature']	['Spirit', 'Advisor']	5	['White', 'Black']	5	5	When Obzedat, Ghost Council enters the battlefield, target opponent loses 2 life and you gain 2 life. At the beginning of your end step, you may exile Obzedat. If you do, return it to the battlefield under its owner's control at the beginning of your next upkeep. It gains haste.	['GTC']
Unhallowed Cathar	['Creature']	['Zombie', 'Soldier']	No-cmc	['Black']	2	1	Unhallowed Cathar can't block.	['DKA']
Helldozer	['Creature']	['Zombie', 'Giant']	6	['Black']	6	5	{B}{B}{B}, {T}: Destroy target land. If that land was nonbasic, untap Helldozer.	['RAV', 'HOP']
Sakiko, Mother of Summer	['Creature']	['Snake', 'Shaman']	6	['Green']	3	3	Whenever a creature you control deals combat damage to a player, add that much {G} to your mana pool. Until end of turn, this mana doesn't empty from your mana pool as steps and phases end.	['BOK']
Bog Hoodlums	['Creature']	['Goblin', 'Warrior']	6	['Black']	4	1	Bog Hoodlums can't block. When Bog Hoodlums enters the battlefield, clash with an opponent. If you win, put a +1/+1 counter on Bog Hoodlums. (Each clashing player reveals the top card of his or her library, then puts that card on the top or bottom. A player wins if his or her card had a higher converted mana cost.)	['LRW']
Nissa, Vastwood Seer	['Creature']	['Elf', 'Scout']	3	['Green']	2	2	When Nissa, Vastwood Seer enters the battlefield, you may search your library for a basic Forest card, reveal it, put it into your hand, then shuffle your library. Whenever a land enters the battlefield under your control, if you control seven or more lands, exile Nissa, then return her to the battlefield transformed under her owner's control.	['ORI']
Spitting Gourna	['Creature']	['Beast']	5	['Green']	3	4	Reach (This creature can block creatures with flying.) Morph {4}{G} (You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its morph cost.)	['ONS']
Niv-Mizzet, Dracogenius	['Creature']	['Dragon', 'Wizard']	6	['Blue', 'Red']	5	5	Flying Whenever Niv-Mizzet, Dracogenius deals damage to a player, you may draw a card. {U}{R}: Niv-Mizzet, Dracogenius deals 1 damage to target creature or player.	['RTR']
Kheru Spellsnatcher	['Creature']	['Naga', 'Wizard']	4	['Blue']	3	3	Morph {4}{U}{U} (You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its morph cost.) When Kheru Spellsnatcher is turned face up, counter target spell. If that spell is countered this way, exile it instead of putting it into its owner's graveyard. You may cast that card without paying its mana cost for as long as it remains exiled.	['KTK']
Hungering Yeti	['Creature']	['Yeti']	5	['Red']	4	4	As long as you control a green or blue permanent, you may cast Hungering Yeti as though it had flash. (You may cast it any time you could cast an instant.)	['FRF']
Covetous Dragon	['Creature']	['Dragon']	5	['Red']	6	5	Flying When you control no artifacts, sacrifice Covetous Dragon.	['UDS']
Atog	['Creature']	['Atog']	2	['Red']	1	2	Sacrifice an artifact: Atog gets +2/+2 until end of turn.	['ATQ', '3ED', '5ED', 'MRD', 'ME4']
Cavalry Pegasus	['Creature']	['Pegasus']	2	['White']	1	1	Flying Whenever Cavalry Pegasus attacks, each attacking Human gains flying until end of turn.	['DDL', 'THS']
Llanowar Druid	['Creature']	['Elf', 'Druid']	2	['Green']	1	2	{T}, Sacrifice Llanowar Druid: Untap all Forests.	['WTH']
Greater Basilisk	['Creature']	['Basilisk']	5	['Green']	3	5	Deathtouch (Any amount of damage this deals to a creature is enough to destroy it.)	['M11', 'M12']
Blistering Firecat	['Creature']	['Elemental', 'Cat']	4	['Red']	7	1	Trample, haste At the beginning of the end step, sacrifice Blistering Firecat. Morph {R}{R} (You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its morph cost.)	['ONS']
Silent Artisan	['Creature']	['Giant']	5	['White']	3	5	NA	['THS']
Kragma Butcher	['Creature']	['Minotaur', 'Warrior']	3	['Red']	2	3	Inspired — Whenever Kragma Butcher becomes untapped, it gets +2/+0 until end of turn.	['BNG']
Acid Web Spider	['Creature']	['Spider']	5	['Green']	3	5	Reach When Acid Web Spider enters the battlefield, you may destroy target Equipment.	['SOM']
Whipstitched Zombie	['Creature']	['Zombie']	2	['Black']	2	2	At the beginning of your upkeep, sacrifice Whipstitched Zombie unless you pay {B}.	['PCY']
Scion of the Ur-Dragon	['Creature']	['Dragon', 'Avatar']	5	['White', 'Blue', 'Black', 'Red', 'Green']	4	4	Flying {2}: Search your library for a Dragon permanent card and put it into your graveyard. If you do, Scion of the Ur-Dragon becomes a copy of that card until end of turn. Then shuffle your library.	['TSP']
Wolf-Skull Shaman	['Creature']	['Elf', 'Shaman']	2	['Green']	2	2	Kinship — At the beginning of your upkeep, you may look at the top card of your library. If it shares a creature type with Wolf-Skull Shaman, you may reveal it. If you do, put a 2/2 green Wolf creature token onto the battlefield.	['MOR']
Worldgorger Dragon	['Creature']	['Nightmare', 'Dragon']	6	['Red']	7	7	Flying, trample When Worldgorger Dragon enters the battlefield, exile all other permanents you control. When Worldgorger Dragon leaves the battlefield, return the exiled cards to the battlefield under their owners' control.	['JUD', 'VMA']
Lightning Serpent	['Creature']	['Elemental', 'Serpent']	1	['Red']	2	1	Trample, haste Lightning Serpent enters the battlefield with X +1/+0 counters on it. At the beginning of the end step, sacrifice Lightning Serpent.	['CSP']
Sensation Gorger	['Creature']	['Goblin', 'Shaman']	3	['Red']	2	2	Kinship — At the beginning of your upkeep, you may look at the top card of your library. If it shares a creature type with Sensation Gorger, you may reveal it. If you do, each player discards his or her hand, then draws four cards.	['MOR']
Ogre Jailbreaker	['Creature']	['Ogre', 'Rogue']	4	['Black']	4	4	Defender Ogre Jailbreaker can attack as though it didn't have defender as long as you control a Gate.	['RTR']
Thundermare	['Creature']	['Elemental', 'Horse']	6	['Red']	5	5	Haste (This creature can attack the turn it comes under your control.) When Thundermare enters the battlefield, tap all other creatures.	['POR', 'WTH', '9ED']
Serendib Efreet	['Creature']	['Efreet']	3	['Blue']	3	4	Flying At the beginning of your upkeep, Serendib Efreet deals 1 damage to you.	['ARN', '3ED', 'MED', 'V09', 'VMA']
Halfdane	['Creature']	['Shapeshifter']	4	['White', 'Blue', 'Black']	3	3	At the beginning of your upkeep, change Halfdane's base power and toughness to the power and toughness of target creature other than Halfdane until the end of your next upkeep.	['LEG', 'ME3']
Balduvian War-Makers	['Creature']	['Human', 'Barbarian']	5	['Red']	3	3	Haste Rampage 1 (Whenever this creature becomes blocked, it gets +1/+1 until end of turn for each creature blocking it beyond the first.)	['ALL']
Llanowar Elite	['Creature']	['Elf']	1	['Green']	1	1	Kicker {8} (You may pay an additional {8} as you cast this spell.) Trample If Llanowar Elite was kicked, it enters the battlefield with five +1/+1 counters on it.	['INV']
Chasm Guide	['Creature']	['Goblin', 'Scout', 'Ally']	4	['Red']	3	2	Rally — Whenever Chasm Guide or another Ally enters the battlefield under your control, creatures you control gain haste until end of turn.	['BFZ']
Blastoderm	['Creature']	['Beast']	4	['Green']	5	5	Shroud (This creature can't be the target of spells or abilities.) Fading 3 (This creature enters the battlefield with three fade counters on it. At the beginning of your upkeep, remove a fade counter from it. If you can't, sacrifice it.)	['pFNM', 'NMS', 'DDD', 'VMA', 'DD3_GVL']
Gustcloak Cavalier	['Creature']	['Human', 'Knight']	5	['White']	2	2	Flanking (Whenever a creature without flanking blocks this creature, the blocking creature gets -1/-1 until end of turn.) Whenever Gustcloak Cavalier attacks, you may tap target creature. Whenever Gustcloak Cavalier becomes blocked, you may untap Gustcloak Cavalier and remove it from combat.	['TSP']
Trusted Advisor	['Creature']	['Human', 'Advisor']	1	['Blue']	1	2	Your maximum hand size is increased by two. At the beginning of your upkeep, return a blue creature you control to its owner's hand.	['SOK']
Nim Replica	['Artifact', 'Creature']	['Zombie']	3	colorless	3	1	{2}{B}, Sacrifice Nim Replica: Target creature gets -1/-1 until end of turn.	['MRD']
Narwhal	['Creature']	['Whale']	4	['Blue']	2	2	First strike, protection from red	['HML', 'ME2']
Quirion Explorer	['Creature']	['Elf', 'Druid', 'Scout']	2	['Green']	1	1	{T}: Add to your mana pool one mana of any color that a land an opponent controls could produce.	['PLS']
Apprentice Necromancer	['Creature']	['Zombie', 'Wizard']	2	['Black']	1	1	{B}, {T}, Sacrifice Apprentice Necromancer: Return target creature card from your graveyard to the battlefield. That creature gains haste. At the beginning of the next end step, sacrifice it.	['UDS']
Demon of Wailing Agonies	['Creature']	['Demon']	5	['Black']	4	4	Flying Lieutenant — As long as you control your commander, Demon of Wailing Agonies gets +2/+2 and has "Whenever Demon of Wailing Agonies deals combat damage to a player, that player sacrifices a creature."	['C14']
Uncle Istvan	['Creature']	['Human']	4	['Black']	1	3	Prevent all damage that would be dealt to Uncle Istvan by creatures.	['DRK', '4ED', 'TSB']
Horseshoe Crab	['Creature']	['Crab']	3	['Blue']	1	3	{U}: Untap Horseshoe Crab.	['USG', '10E']
Kashi-Tribe Elite	['Creature']	['Snake', 'Warrior']	3	['Green']	2	3	Legendary Snakes you control have shroud. (They can't be the targets of spells or abilities.) Whenever Kashi-Tribe Elite deals combat damage to a creature, tap that creature and it doesn't untap during its controller's next untap step.	['SOK']
Wall of Putrid Flesh	['Creature']	['Wall']	3	['Black']	2	4	Defender (This creature can't attack.) Protection from white Prevent all damage that would be dealt to Wall of Putrid Flesh by enchanted creatures.	['LEG']
Deus of Calamity	['Creature']	['Spirit', 'Avatar']	5	['Red', 'Green']	6	6	Trample Whenever Deus of Calamity deals 6 or more damage to an opponent, destroy target land that player controls.	['SHM', 'DDL']
Scarwood Hag	['Creature']	['Hag']	2	['Green']	1	1	{G}{G}{G}{G}, {T}: Target creature gains forestwalk until end of turn. (It can't be blocked as long as defending player controls a Forest.) {T}: Target creature loses forestwalk until end of turn.	['DRK']
Dominator Drone	['Creature']	['Eldrazi', 'Drone']	3	colorless	3	2	Devoid (This card has no color.) Ingest (Whenever this creature deals combat damage to a player, that player exiles the top card of his or her library.) When Dominator Drone enters the battlefield, if you control another colorless creature, each opponent loses 2 life.	['DDP', 'BFZ']
Wild Ox	['Creature']	['Ox']	4	['Green']	3	3	Swampwalk (This creature can't be blocked as long as defending player controls a Swamp.)	['PO2', 'S99', 'ME4']
Cinder Giant	['Creature']	['Giant']	4	['Red']	5	3	At the beginning of your upkeep, Cinder Giant deals 2 damage to each other creature you control.	['WTH']
Leviathan	['Creature']	['Leviathan']	9	['Blue']	10	10	Trample Leviathan enters the battlefield tapped and doesn't untap during your untap step. At the beginning of your upkeep, you may sacrifice two Islands. If you do, untap Leviathan. Leviathan can't attack unless you sacrifice two Islands. (This cost is paid as attackers are declared.)	['DRK', '4ED', '5ED', 'BTD', 'TSB']
Watchdog	['Artifact', 'Creature']	['Hound']	3	colorless	1	2	Watchdog blocks each turn if able. As long as Watchdog is untapped, all creatures attacking you get -1/-0.	['TMP']
Furystoke Giant	['Creature']	['Giant', 'Warrior']	5	['Red']	3	3	When Furystoke Giant enters the battlefield, other creatures you control gain "{T}: This creature deals 2 damage to target creature or player" until end of turn. Persist (When this creature dies, if it had no -1/-1 counters on it, return it to the battlefield under its owner's control with a -1/-1 counter on it.)	['SHM']
Void Stalker	['Creature']	['Elemental']	2	['Blue']	2	1	{2}{U}, {T}: Put Void Stalker and target creature on top of their owners' libraries, then those players shuffle their libraries.	['M13']
Swarmborn Giant	['Creature']	['Giant']	4	['Green']	6	6	When you're dealt combat damage, sacrifice Swarmborn Giant. {4}{G}{G}: Monstrosity 2. (If this creature isn't monstrous, put two +1/+1 counters on it and it becomes monstrous.) As long as Swarmborn Giant is monstrous, it has reach.	['JOU']
Furnace Brood	['Creature']	['Elemental']	4	['Red']	3	3	{R}: Target creature can't be regenerated this turn.	['EXO', 'TPR']
Devoted Caretaker	['Creature']	['Human', 'Cleric']	1	['White']	1	2	{W}, {T}: Target permanent you control gains protection from instant spells and from sorcery spells until end of turn.	['ODY']
Glissa, the Traitor	['Creature']	['Zombie', 'Elf']	3	['Black', 'Green']	3	3	First strike, deathtouch Whenever a creature an opponent controls dies, you may return target artifact card from your graveyard to your hand.	['pPRE', 'MBS']
Roon of the Hidden Realm	['Creature']	['Rhino', 'Soldier']	5	['White', 'Blue', 'Green']	4	4	Vigilance, trample {2}, {T}: Exile another target creature. Return that card to the battlefield under its owner's control at the beginning of the next end step.	['C13']
Howlpack of Estwald	['Creature']	['Werewolf']	No-cmc	['Green']	4	6	At the beginning of each upkeep, if a player cast two or more spells last turn, transform Howlpack of Estwald.	['ISD']
Spitting Slug	['Creature']	['Slug']	3	['Green']	2	4	Whenever Spitting Slug blocks or becomes blocked, you may pay {1}{G}. If you do, Spitting Slug gains first strike until end of turn. Otherwise, each creature blocking or blocked by Spitting Slug gains first strike until end of turn.	['DRK', 'TSB']
Neurok Transmuter	['Creature']	['Human', 'Wizard']	3	['Blue']	2	2	{U}: Target creature becomes an artifact in addition to its other types until end of turn. {U}: Until end of turn, target artifact creature becomes blue and isn't an artifact.	['DST']
Tormentor Exarch	['Creature']	['Cleric']	4	['Red']	2	2	When Tormentor Exarch enters the battlefield, choose one — • Target creature gets +2/+0 until end of turn. • Target creature gets -0/-2 until end of turn.	['NPH']
Kataki, War's Wage	['Creature']	['Spirit']	2	['White']	2	1	All artifacts have "At the beginning of your upkeep, sacrifice this artifact unless you pay {1}."	['SOK', 'MMA', 'MD1']
Broodwarden	['Creature']	['Eldrazi', 'Drone']	5	['Green']	4	4	Eldrazi Spawn creatures you control get +2/+1.	['ROE']
Niblis of the Breath	['Creature']	['Spirit']	3	['Blue']	2	1	Flying {U}, {T}: You may tap or untap target creature.	['DKA']
Dark Impostor	['Creature']	['Vampire', 'Assassin']	3	['Black']	2	2	{4}{B}{B}: Exile target creature and put a +1/+1 counter on Dark Impostor. Dark Impostor has all activated abilities of all creature cards exiled with it.	['AVR']
Scourge of Geier Reach	['Creature']	['Elemental']	5	['Red']	3	3	Scourge of Geier Reach gets +1/+1 for each creature your opponents control.	['ISD']
Lead-Belly Chimera	['Artifact', 'Creature']	['Chimera']	4	colorless	2	2	Trample Sacrifice Lead-Belly Chimera: Put a +2/+2 counter on target Chimera creature. It gains trample. (This effect lasts indefinitely.)	['VIS']
Plague Witch	['Creature']	['Elf', 'Spellshaper']	2	['Black']	1	1	{B}, {T}, Discard a card: Target creature gets -1/-1 until end of turn.	['NMS']
Court Homunculus	['Artifact', 'Creature']	['Homunculus']	1	['White']	1	1	Court Homunculus gets +1/+1 as long as you control another artifact.	['CON', 'MMA', 'MM2']
Brine Seer	['Creature']	['Human', 'Wizard']	4	['Blue']	1	1	{2}{U}, {T}: Reveal any number of blue cards in your hand. Counter target spell unless its controller pays {1} for each card revealed this way.	['UDS']
Centaur Veteran	['Creature']	['Centaur']	6	['Green']	3	3	Trample {G}, Discard a card: Regenerate Centaur Veteran.	['TOR']
Temur War Shaman	['Creature']	['Human', 'Shaman']	6	['Green']	4	5	When Temur War Shaman enters the battlefield, manifest the top card of your library. (Put that card onto the battlefield face down as a 2/2 creature. Turn it face up any time for its mana cost if it's a creature card.) Whenever a permanent you control is turned face up, if it's a creature, you may have it fight target creature you don't control.	['pMEI', 'FRF']
Henge Guardian	['Artifact', 'Creature']	['Dragon', 'Wurm']	5	colorless	3	4	{2}: Henge Guardian gains trample until end of turn.	['MMQ', 'DDG']
Akron Legionnaire	['Creature']	['Giant', 'Soldier']	8	['White']	8	4	Except for creatures named Akron Legionnaire and artifact creatures, creatures you control can't attack.	['LEG', 'CHR', '5ED', 'ME3']
Saproling	['Creature']	['Saproling']	No-cmc	colorless	1	1	NA	['DDE']
